epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc,train_em,train_f1,train_acc
0,48875.27068519592,48875.27068519592,25064.155165672302,46.761559841657544,48.64784441444516,56.48109155226143,38.43491739500764,41.98329581444169,69.934545231317
1,42069.33810520172,42069.33810520172,23994.780490875244,53.47426935062747,54.72381975717281,57.71919481175777,45.81373399120619,48.81979677778681,70.97660356509795
2,39317.68470907211,39317.68470907211,23339.250437378883,40.722648024930514,45.93762020006595,55.638844436957804,41.05080609888044,49.854717653616966,70.07036579470376
3,37758.707802295685,37758.707802295685,22718.47524830699,55.908363513854965,58.320986174824924,61.947275330581995,51.71770808554393,57.077463832241946,74.44731773571007
4,36649.48293590546,36649.48293590546,22179.168332368135,53.29739745641371,56.59473128367021,59.6058283500379,51.6808753903882,58.472681952801125,73.66692500709797
5,35509.868029117584,35509.868029117584,21505.557482138276,53.53322664869873,56.835595069554564,60.96184620567674,53.06286880654394,60.13093718930843,75.0228285975184
6,34690.18874645233,34690.18874645233,21040.586602821946,57.66865998483955,60.54828323898563,65.34995367640866,56.06166407047322,62.24210951274003,77.87736247208773
7,34043.35979425907,34043.35979425907,20608.78818756342,52.65728964878295,56.41554805259888,60.919733849911566,54.97203017211611,62.50653230320747,76.0364950621168
8,33206.634018301964,33206.634018301964,20110.354503322393,47.14057104354418,51.548117003862,58.59513181167355,50.74087431610126,59.275672028135396,74.64836286343511
9,32437.819249153137,32437.819249153137,19580.185232132673,54.855554619725424,58.35027685015901,63.77495157079087,57.63702913619657,64.97731559436063,79.3859682778413
10,30779.914148807526,30779.914148807526,18491.24035964161,54.855554619725424,58.73382348787864,64.88671776299167,59.16481863734375,66.7910947740112,80.87999447509573
11,30072.856512904167,30072.856512904167,18051.64082168881,51.97506948538701,56.0120798622987,62.14099216710183,58.00228669649092,66.12203193949043,78.96085758791888
12,29502.946384251118,29502.946384251118,17681.146275399253,56.36317695611893,60.1393754733283,65.29099637833741,61.19829034906652,68.806881393417,82.08396319799876
13,29112.257048010826,29112.257048010826,17396.634197030216,55.899941042701926,59.476042582709056,65.30784132064348,61.490649866865155,68.96773140390141,82.52979227894627
14,28650.861779510975,28650.861779510975,17080.36061225552,54.14806704287038,57.94509940895591,64.71826833993093,60.57673861831352,68.40470326492706,81.90824054819328
15,28179.333347141743,28179.333347141743,16766.110216914676,56.1020803503748,59.73469657154856,65.34995367640866,62.698455328846904,70.27699390367367,83.69155687198337
16,27831.953383266926,27831.953383266926,16526.077089580707,58.62882169628569,61.888430887083516,67.97776467615599,64.05819565834607,71.04882660060699,84.88631742109746
17,27466.557803332806,27466.557803332806,16247.310035163537,55.470395013897075,59.28290014510943,65.13939189758275,63.01997406364383,70.87723516242636,84.11973695316877
18,27085.550974607468,27085.550974607468,16012.255295966752,56.01785563884444,59.72517298972277,65.74580982060137,63.68986870678873,71.47311429266499,84.53333742585502
19,26706.94785821438,26706.94785821438,15735.769459590781,57.85395435020635,61.42489936159291,66.99233555125073,64.88386190808708,72.25757712322303,85.71428571428571
20,25745.988877415657,25745.988877415657,15065.694908310892,57.3317611387181,61.06969051278471,67.06813779162806,65.83690789524168,73.33020333576968,86.59213161549735
21,25537.49313867092,25537.49313867092,14951.74463384389,57.74446222521688,61.38520646758982,67.30396698391309,66.05636937054459,73.54783477631351,86.69879296188583
22,25146.529049277306,25146.529049277306,14667.257364343153,55.59673208119262,59.46295138417084,65.68685252253012,65.47395237839456,73.1638519575031,86.12942088260345
23,24926.823603332043,24926.823603332043,14540.18462981435,57.197001600269516,60.857980402832304,66.83230859934305,66.49299027770317,74.03943961908193,86.9934545231317
24,24656.384006679058,24656.384006679058,14343.991964198882,59.3026193885286,62.84504102267401,68.41573317611387,67.43682809106883,74.82078818457727,87.98026381417905
25,26947.979127526283,26947.979127526283,15781.609928480582,53.01103343721048,56.94955099771617,63.84233134001516,63.590880838557695,71.47384929864677,84.63462733753329
26,26421.830995202065,26421.830995202065,15497.23284688848,58.68777899435695,62.135486719362405,67.98618714730902,66.09857350041054,73.20941240724163,87.11469547801933
27,25502.05078071356,25502.05078071356,14842.300046013668,49.11142929335467,53.715753187919276,61.13871809989051,61.13997191506994,69.48177725361992,82.0210406771077
28,24788.18235397339,24788.18235397339,14356.506653305667,58.10662848479744,61.61288530528827,67.59875347426934,66.78151305642308,74.16878099623368,87.58814908033364
29,24297.500488579273,24297.500488579273,14016.958465927048,55.06611639855134,59.10108064520377,65.86372441674388,65.86913650350294,73.73768821521836,86.47396005187271
30,23537.01613098383,23537.01613098383,13422.700217173668,57.112776888739155,60.68239824553001,67.85985008001347,67.87882043293764,75.34916430940909,88.59260737114312
31,23016.209234774113,23016.209234774113,13049.360663526691,58.729891350122124,62.11438510973188,68.25570622420618,68.54027425010935,75.78863497457752,89.0982895817187
