epoch,train_loss,train_loss_san,train_loss_class,dev_em,dev_f1,dev_acc
0,48890.33626079559,48890.33626079559,25070.269769191742,47.207950812768466,48.89843444968522,56.39686684073107
1,42119.951719760895,42119.951719760895,24016.305155158043,52.16878632190685,54.230064641477654,57.94660153288975
2,39294.21875166893,39294.21875166893,23341.50711172819,54.55234565821612,56.75508139715124,58.78884864819338
3,37672.47707271576,37672.47707271576,22664.905628979206,50.652741514360315,54.332546783852465,58.83096100395856
4,36512.40622496605,36512.40622496605,22063.483940333128,56.245262359976415,58.881652337270594,61.80409332098038
5,35469.36565756798,35469.36565756798,21455.387817814946,52.14351890844774,55.85706070484735,58.670934052050875
6,34592.53166162968,34592.53166162968,20941.415586322546,55.49566242735619,58.74258982451887,63.648614503495324
7,33663.61646723747,33663.61646723747,20332.996980912983,55.049271456245265,58.53389950984656,62.1578371094079
8,32632.47755110264,32632.47755110264,19607.534432202578,52.202476206518995,56.12353661943265,61.39981470563463
9,31927.593780636787,31927.593780636787,19188.86442689784,57.16331171565737,60.18792859078323,66.01532889749852
10,30252.049894928932,30252.049894928932,18109.356494853273,54.46812094668576,57.89034145590398,64.54981891687021
11,29578.746395111084,29578.746395111084,17674.522259197198,55.76518150425335,59.26989978467742,65.80476711867261
12,29032.76549488306,29032.76549488306,17318.484668951016,56.21999494651731,59.6912393766947,65.24888402257223
13,28588.857630968094,28588.857630968094,16993.745611822465,54.91451191779668,58.51725257891361,64.59193127263539
14,28135.329181551933,28135.329181551933,16713.22597657051,55.16718605238777,58.720817094232586,65.08885707066453
15,27650.89679390192,27650.89679390192,16345.752995105926,54.25755916785985,57.98067381846144,63.825486397709085
16,27380.76957833767,27380.76957833767,16203.488675537985,55.62199949465173,59.21070990917862,65.15623683988882
17,26945.671240270138,26945.671240270138,15876.935155828483,56.32948707150678,60.02672707589236,66.15851090710014
18,26586.21229636669,26586.21229636669,15622.597197898664,55.723069148488165,59.52115015983285,66.07428619556978
19,26115.736820340157,26115.736820340157,15262.815269330982,57.21384654257559,60.81547859684351,67.32923439737219
20,25442.71785634756,25442.71785634756,14853.76186251035,57.07066453297397,60.506996267231024,66.93337825317948
21,25070.568345725536,25070.568345725536,14595.852076254901,56.30421965804767,59.94369858184165,66.04901878211066
22,24895.25026911497,24895.25026911497,14471.810930681648,55.67253432156995,59.381447666097905,65.96479407058031
23,24578.95882052183,24578.95882052183,14259.267249464756,55.1503411100817,58.890158560346904,65.76265476290743
24,24466.332501411438,24466.332501411438,14186.052642057883,55.1503411100817,59.00623199592033,66.0069064263455
25,24148.272402107716,24148.272402107716,13971.663617640967,56.37159942727196,60.05601910157793,66.48698728206855
26,23986.172736942768,23986.172736942768,13863.950619620853,56.506358965720544,60.32147912038721,66.84915354164912
27,23775.525381922722,23775.525381922722,13745.396469916217,55.84940621578371,59.595097836964555,65.99848395519246
28,23635.85315054655,23635.85315054655,13629.444485866698,53.97961761980965,57.846527105332754,64.78564810915523
29,23523.28869944811,23523.28869944811,13546.834217738011,57.30649372525899,60.969439803912785,67.60717594542238
30,22957.197048842907,22957.197048842907,13157.600516398496,55.133496167775625,58.993337434518914,66.14166596479407
31,22838.46535539627,22838.46535539627,13063.863598723081,55.899941042701926,59.600368627653026,66.1922007917123
32,22738.566241264343,22738.566241264343,13012.149134502164,56.78430051377074,60.36445701491489,66.89968836856734
33,22650.384673833847,22650.384673833847,12932.635752332979,56.523203908026616,60.28793837053545,67.06813779162806
34,22439.46845692396,22439.46845692396,12792.964568661875,55.48723995620315,59.2856710794376,65.64474016676493
35,22444.626510679722,22444.626510679722,12837.08547421894,57.74446222521688,61.29822031920402,67.57348606081024
36,22238.786154210567,22238.786154210567,12650.938443064748,56.80114545607681,60.428489184576435,67.03444790701592
37,22097.9126573205,22097.9126573205,12548.262820138829,57.08750947528005,60.70385659605664,67.42188158005558
38,22059.740428686142,22059.740428686142,12528.264075272717,56.27052977343553,60.020220598454,66.57121199359892
39,24936.634506046772,24936.634506046772,14375.755608818494,53.97119514865662,57.7723055870444,64.92040764760381
40,24440.293274223804,24440.293274223804,14074.142649577,56.81799039838288,60.485652737931126,67.05971532047502
41,23874.949156701565,23874.949156701565,13725.237134809955,56.4726690811084,60.16302780216337,66.68912658974143
42,23251.270015388727,23251.270015388727,13281.362544497475,53.81959066790196,57.93318265218502,64.62562115724754
43,22735.21057611704,22735.21057611704,12879.97723035072,56.775878042617705,60.36948045582742,66.65543670512929
44,22176.077207922935,22176.077207922935,12473.243379165506,56.39686684073107,60.11024304695388,66.76492883011876
45,21813.33573669195,21813.33573669195,12194.157851288677,55.27667817737724,59.088925256591125,66.2427356186305
46,21334.21395161748,21334.21395161748,11883.631107846391,55.68937926387602,59.51988395299695,66.1922007917123
47,20886.04027426243,20886.04027426243,11525.961251128523,54.25755916785985,58.21940145262359,65.36679861871472
48,20640.882393598557,20640.882393598557,11365.780848097114,56.12734776383391,59.93511755793986,67.19447485892361
49,20407.156133919954,20407.156133919954,11202.006422205595,55.60515455234566,59.324457450002576,66.48698728206855
